TRIG,particles,simulation_id,composition,energy,particles_normalized
TRIG2,47,30,Photon,3.16E15,0.030183727034120734
TRIG1,5,81,Proton,1E15,0.0026246719160104987
TRIG2,15,744,Photon,1E15,0.009186351706036745
TRIG2,13,324,Carbon,1E15,0.007874015748031496
TRIG1,32,618,Photon,1E15,0.020341207349081365
TRIG3,68,170,Photon,3.16E15,0.04396325459317585
TRIG3,1,271,Proton,1E15,0.0
TRIG1,3,301,Iron,1E15,0.0013123359580052493
TRIG1,8,487,Proton,3.16E14,0.004593175853018373
TRIG3,12,577,Photon,3.16E14,0.007217847769028871
TRIG2,32,24,Carbon,3.16E15,0.020341207349081365
TRIG3,192,299,Proton,3.16E15,0.12532808398950132
TRIG2,408,223,Photon,3.16E15,0.26706036745406825
TRIG3,561,249,Photon,3.16E15,0.3674540682414698
TRIG2,3,112,Iron,1E15,0.0013123359580052493
TRIG3,33,696,Photon,1E15,0.02099737532808399
TRIG3,3,166,Proton,1E14,0.0013123359580052493
TRIG3,18,298,Nitrogen,1E15,0.01115485564304462
TRIG1,546,277,Photon,3.16E15,0.35761154855643046
TRIG1,5,131,Carbon,3.16E14,0.0026246719160104987
TRIG3,19,96,Proton,1E15,0.011811023622047244
TRIG3,2,46,Carbon,1E15,0.0006561679790026247
TRIG2,3,365,Iron,3.16E14,0.0013123359580052493
TRIG2,116,48,Oxygen,3.16E15,0.07545931758530183
TRIG1,2,161,Carbon,3.16E14,0.0006561679790026247
TRIG3,3,774,Photon,1E15,0.0013123359580052493
TRIG3,4,25,Nitrogen,3.16E15,0.001968503937007874
TRIG1,9,777,Proton,3.16E14,0.005249343832020997
TRIG3,13,61,Iron,1E15,0.007874015748031496
TRIG2,5,491,Iron,1E15,0.0026246719160104987
TRIG3,36,77,Photon,3.16E15,0.022965879265091863
TRIG3,45,247,Carbon,1E15,0.028871391076115485
TRIG1,6,170,Proton,3.16E14,0.0032808398950131233
TRIG3,9,316,Iron,1E15,0.005249343832020997
TRIG3,343,19,Photon,3.16E15,0.22440944881889763
TRIG1,21,48,Carbon,3.16E15,0.013123359580052493
TRIG2,4,825,Iron,1E15,0.001968503937007874
TRIG3,31,814,Iron,1E15,0.01968503937007874
TRIG2,37,56,Proton,1E15,0.023622047244094488
TRIG2,17,152,Proton,1E15,0.010498687664041995
TRIG3,3,317,Iron,3.16E14,0.0013123359580052493
TRIG3,36,89,Carbon,3.16E15,0.022965879265091863
TRIG3,41,93,Proton,3.16E15,0.026246719160104987
TRIG3,6,682,Iron,1E15,0.0032808398950131233
TRIG1,7,601,Proton,1E14,0.003937007874015748
TRIG3,68,56,Nitrogen,3.16E15,0.04396325459317585
TRIG2,27,25,Oxygen,1E15,0.01706036745406824
TRIG3,10,918,Photon,1E15,0.005905511811023622
TRIG3,57,839,Photon,3.16E14,0.03674540682414698
TRIG2,113,114,Proton,3.16E15,0.07349081364829396
TRIG1,6,227,Photon,3.16E14,0.0032808398950131233
TRIG1,32,138,Photon,3.16E14,0.020341207349081365
TRIG2,10,475,Iron,1E15,0.005905511811023622
TRIG2,140,161,Proton,3.16E15,0.09120734908136482
TRIG3,3,312,Carbon,1E15,0.0013123359580052493
TRIG2,25,292,Carbon,1E15,0.015748031496062992
TRIG2,6,215,Carbon,1E15,0.0032808398950131233
TRIG2,1,56,Nitrogen,1E15,0.0
TRIG3,7,168,Oxygen,1E15,0.003937007874015748
TRIG1,49,250,Photon,3.16E15,0.031496062992125984
TRIG2,3,85,Photon,3.16E15,0.0013123359580052493
TRIG2,4,620,Proton,3.16E14,0.001968503937007874
TRIG2,18,441,Photon,1E15,0.01115485564304462
TRIG2,49,179,Photon,3.16E15,0.031496062992125984
TRIG1,27,555,Proton,1E15,0.01706036745406824
TRIG1,5,674,Photon,1E15,0.0026246719160104987
TRIG3,4,410,Proton,1E15,0.001968503937007874
TRIG2,2,866,Photon,1E14,0.0006561679790026247
TRIG2,5,81,Oxygen,1E15,0.0026246719160104987
TRIG3,427,71,Photon,3.16E15,0.2795275590551181
TRIG2,11,26,Iron,3.16E15,0.006561679790026247
TRIG3,16,452,Proton,1E15,0.00984251968503937
TRIG3,2,125,Iron,3.16E14,0.0006561679790026247
TRIG3,1,196,Iron,3.16E15,0.0
TRIG2,14,375,Photon,3.16E14,0.00853018372703412
TRIG3,9,592,Proton,1E15,0.005249343832020997
TRIG2,5,514,Iron,1E15,0.0026246719160104987
TRIG3,7,798,Proton,3.16E14,0.003937007874015748
TRIG2,1,66,Nitrogen,3.16E15,0.0
TRIG3,151,57,Proton,3.16E15,0.09842519685039369
TRIG2,17,307,Nitrogen,3.16E14,0.010498687664041995
TRIG2,5,280,Carbon,3.16E14,0.0026246719160104987
TRIG2,8,234,Proton,1E15,0.004593175853018373
TRIG2,64,46,Iron,3.16E15,0.04133858267716535
TRIG2,3,175,Photon,1E15,0.0013123359580052493
TRIG2,2,709,Iron,1E15,0.0006561679790026247
TRIG2,5,566,Iron,1E15,0.0026246719160104987
TRIG3,1,255,Carbon,3.16E14,0.0
TRIG2,3,281,Photon,1E14,0.0013123359580052493
TRIG1,12,257,Proton,3.16E15,0.007217847769028871
TRIG3,16,984,Proton,1E15,0.00984251968503937
TRIG2,106,165,Proton,3.16E15,0.0688976377952756
TRIG3,7,605,Photon,3.16E14,0.003937007874015748
TRIG2,71,130,Photon,3.16E15,0.045931758530183726
TRIG1,62,585,Photon,1E15,0.04002624671916011
TRIG3,12,292,Proton,3.16E15,0.007217847769028871
TRIG2,115,108,Proton,3.16E15,0.07480314960629922
TRIG1,3,87,Photon,3.16E14,0.0013123359580052493
TRIG3,3,45,Iron,1E15,0.0013123359580052493
TRIG3,18,90,Proton,1E15,0.01115485564304462
TRIG1,151,182,Iron,3.16E15,0.09842519685039369
TRIG2,16,74,Proton,3.16E14,0.00984251968503937
TRIG1,29,97,Nitrogen,1E15,0.01837270341207349
TRIG1,6,439,Photon,3.16E14,0.0032808398950131233
TRIG1,5,483,Photon,1E14,0.0026246719160104987
TRIG3,3,209,Photon,1E14,0.0013123359580052493
TRIG1,4,396,Proton,1E15,0.001968503937007874
TRIG1,48,137,Proton,1E15,0.03083989501312336
TRIG2,4,373,Proton,1E15,0.001968503937007874
TRIG2,3,34,Iron,1E15,0.0013123359580052493
TRIG3,36,900,Photon,1E15,0.022965879265091863
TRIG2,6,42,Carbon,1E15,0.0032808398950131233
TRIG2,287,248,Photon,3.16E15,0.18766404199475065
TRIG1,349,206,Proton,3.16E15,0.22834645669291337
TRIG1,2,70,Proton,3.16E14,0.0006561679790026247
TRIG1,4,232,Oxygen,3.16E14,0.001968503937007874
TRIG1,158,285,Proton,3.16E15,0.10301837270341208
TRIG3,3,865,Proton,3.16E14,0.0013123359580052493
TRIG1,6,148,Photon,3.16E14,0.0032808398950131233
TRIG3,57,52,Nitrogen,1E15,0.03674540682414698
TRIG3,10,137,Oxygen,1E15,0.005905511811023622
TRIG2,8,332,Iron,1E15,0.004593175853018373
TRIG2,3,478,Proton,1E15,0.0013123359580052493
TRIG2,7,303,Carbon,1E15,0.003937007874015748
TRIG1,380,807,Photon,1E15,0.24868766404199474
TRIG3,2,91,Carbon,1E14,0.0006561679790026247
TRIG2,1,37,Nitrogen,1E15,0.0
TRIG1,31,388,Photon,1E15,0.01968503937007874
TRIG3,8,26,Photon,3.16E15,0.004593175853018373
TRIG2,6,200,Oxygen,1E15,0.0032808398950131233
TRIG1,31,282,Carbon,1E15,0.01968503937007874
TRIG2,22,436,Iron,1E15,0.013779527559055118
TRIG3,12,771,Proton,3.16E14,0.007217847769028871
TRIG3,3,729,Proton,1E14,0.0013123359580052493
TRIG2,4,932,Iron,1E15,0.001968503937007874
TRIG2,155,269,Photon,3.16E15,0.1010498687664042
TRIG2,62,90,Oxygen,3.16E15,0.04002624671916011
TRIG2,1,49,Iron,1E15,0.0
TRIG1,37,794,Photon,1E15,0.023622047244094488
TRIG3,2,68,Proton,3.16E15,0.0006561679790026247
TRIG3,1,213,Iron,3.16E15,0.0
TRIG3,3,136,Photon,1E14,0.0013123359580052493
TRIG2,13,248,Carbon,1E15,0.007874015748031496
